turma;total;count_positiva;pct_positiva;count_negativa;pct_negativa;count_neutra;pct_neutra;count_misto;pct_misto
CATOLICA-Prog-Web-A-2025-1-1;9;6;66,67;0;0,0;0;0,0;3;33,33
CATOLICA-Prog-Web-A-2025-1-2;12;9;75,0;0;0,0;0;0,0;3;25,0
CATOLICA-Prog-Web-B-2025-1-1;17;13;76,47;1;5,88;0;0,0;3;17,65
CATOLICA-Prog-Web-B-2025-1-2;7;5;71,43;1;14,29;0;0,0;1;14,29
UFSC-EMB5600_01602_01605-2025-1-1;47;32;68,09;1;2,13;2;4,26;12;25,53
UFSC-EMB5600_01602_01605-2025-1-2;44;27;61,36;1;2,27;1;2,27;15;34,09
UFSC-EMB5648_01601_01604-2025-1-1;33;18;54,55;0;0,0;3;9,09;12;36,36
UFSC-EMB5648_01601_01604-2025-1-2;11;3;27,27;2;18,18;1;9,09;5;45,45
UFSC-EMB5648_01606-2025-1-1;36;16;44,44;3;8,33;3;8,33;14;38,89
UFSC-EMB5648_01606-2025-1-2;28;5;17,86;2;7,14;1;3,57;20;71,43
